id,date,five_year,quarter,year,month,month_name,day,region,country,alpha2,alpha3,province_state,city,lat,lon,is_success,is_suicide,is_property_damaged,terr_group,is_claimed,attack_type,weapon_type,weapon_subtype,target_type,target_subtype,target_nationality,fatalities_total,fatalities_terrorists,wounded_total,wounded_terrorists,is_hostage,hostages_total,hostage_duration,is_ransom
200001010004,2000-01-01,2000-2005,1,2000,1,Jan,1,Southern,Kosovo,XK,KOS,Kosovo,Peje,42.659809,20.307119,1,0,UKN,UKN,0.0,Bombing,Explosives,UKN,Civilian,Residence,Kazakhstan,0.0,0.0,1.0,0.0,0.0,0,0.0,UKN
200001010008,2000-01-01,2000-2005,1,2000,1,Jan,1,Southern,Kosovo,XK,KOS,Kosovo,Gorazhdec,42.640556,20.369722,0,0,0,UKN,0.0,Armed Assault,Firearms,UKN,Civilian,Race_Ethnicity,Serbia-Montenegro,0.0,0.0,0.0,0.0,0.0,0,0.0,UKN
200001010009,2000-01-01,2000-2005,1,2000,1,Jan,1,Eastern,Turkiye,TR,TUR,Istanbul,Istanbul,41.106178,28.689863,1,0,1,UKN,0.0,Bombing,Explosives,Pipe Bomb,Civilian,Retail_Facility,Turkey,0.0,0.0,0.0,0.0,0.0,0,0.0,UKN
200001010010,2000-01-01,2000-2005,1,2000,1,Jan,1,Southern,Spain,ES,ESP,Basque Country,Galdacano,43.230556,-2.845833,1,0,1,UKN,0.0,Armed Assault,Incendiary,Gasoline/Alcohol,Security,Military_Facility,Spain,0.0,0.0,1.0,0.0,0.0,0,0.0,UKN
200001010011,2000-01-01,2000-2005,1,2000,1,Jan,1,Southern,Spain,ES,ESP,Basque Country,Guernica,43.317073,-2.678975,1,0,1,UKN,0.0,Armed Assault,Incendiary,Gasoline/Alcohol,Civilian,Finance_Facility,Spain,0.0,0.0,0.0,0.0,0.0,0,0.0,UKN
200001020001,2000-01-02,2000-2005,1,2000,1,Jan,2,Western,Germany,DE,DEU,Thuringia,Erfurt,50.973734,11.022435,0,0,0,Autonomous Decorators,0.0,Armed Assault,Incendiary,Molotov Cocktail/Petrol Bomb,Government,Gov_Personnel,Germany,0.0,0.0,0.0,0.0,0.0,0,0.0,UKN
200001030004,2000-01-03,2000-2005,1,2000,1,Jan,3,Southern,Greece,GR,GRC,Attica,Athens,37.99749,23.762728,1,0,1,Anarchist Faction for Subversion,1.0,Infrastructure Attack,Incendiary,Arson/Fire,Government,Diplomatic_Personnel,Jordan,0.0,0.0,0.0,0.0,0.0,0,0.0,UKN
200001040001,2000-01-04,2000-2005,1,2000,1,Jan,4,Southern,Spain,ES,ESP,Basque Country,Durango,43.169068,-2.632655,0,0,0,UKN,0.0,Armed Assault,Incendiary,Gasoline/Alcohol,Security,Military_Facility,Spain,0.0,0.0,0.0,0.0,0.0,0,0.0,UKN
200001040003,2000-01-03,2000-2005,1,2000,1,Jan,3,Southern,Greece,GR,GRC,Attica,Athens,37.99749,23.762728,0,0,0,Anarchists,0.0,Bombing,Explosives,Time Fuse,Civilian,Finance_Facility,Greece,0.0,0.0,0.0,0.0,0.0,0,0.0,UKN
200001050001,2000-01-05,2000-2005,1,2000,1,Jan,5,Southern,Spain,ES,ESP,Basque Country,Donostia-San Sebastian,43.291618,-1.977903,1,0,1,UKN,0.0,Armed Assault,Incendiary,Arson/Fire,Civilian,Retail_Facility,Spain,0.0,0.0,0.0,0.0,0.0,0,0.0,UKN
