country,region
Albania,Southern
Andorra,Southern
Austria,Western
Belarus,Eastern
Belgium,Western
Bosnia and Herzegovina,Southern
Bulgaria,Eastern
Croatia,Southern
Cyprus,Southern
Czechia,Eastern
Denmark,Northern
Estonia,Northern
Finland,Northern
France,Western
Germany,Western
Gibraltar,Southern
Greece,Southern
Hungary,Eastern
Iceland,Northern
Ireland,Northern
Italy,Southern
Kosovo,Southern
Latvia,Northern
Liechtenstein,Western
Lithuania,Northern
Luxembourg,Western
Malta,Southern
Moldova,Eastern
Monaco,Western
Montenegro,Southern
Netherlands,Western
North Macedonia,Southern
Norway,Northern
Poland,Eastern
Portugal,Southern
Romania,Eastern
Russia,Eastern
San Marino,Southern
Serbia,Southern
Slovakia,Eastern
Slovenia,Southern
Spain,Southern
Sweden,Northern
Switzerland,Western
Turkiye,Eastern
Ukraine,Eastern
United Kingdom,Northern
Vatican City,Southern
